Powered by Clearbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business Machines Corp (NYS: IBM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange rate used is that of the Year End reported date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardized Quarterly Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Date,12/31/2023,,09/30/2023,,06/30/2023,,03/31/2023,,12/31/2022,,09/30/2022,,06/30/2022,,03/31/2022,,12/31/2021,,09/30/2021,,06/30/2021,,03/31/2021,,12/31/2020,,09/30/2020,,06/30/2020,,03/31/2020,,12/31/2019,,09/30/2019,,06/30/2019,,03/31/2019,
,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
Audit Status,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,
Consolidated,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Scale,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,
Cash & Equivalents,13089000,,7257000,,9394000,,9337000,,7989000,,7816000,,7034000,,9934000,,6957000,,7455000,,7350000,,10531000,,13675000,,14393000,,12041000,,11218000,,8313000,,10087000,,45399000,,17134000,
Short Term Investments,373000,,3721000,,6904000,,8057000,,852000,,1753000,,524000,,550000,,600000,,600000,,600000,,600000,,600000,,1200000,,2063000,,647000,,696000,,733000,,874000,,872000,
Cash & Equivs & ST Investments,13462000,,10978000,,16298000,,17394000,,8841000,,9569000,,7558000,,10484000,,7557000,,8055000,,7950000,,11131000,,14275000,,15593000,,14104000,,11865000,,9009000,,10820000,,46273000,,18006000,
Receivables (ST),14648000,,11204000,,12940000,,13231000,,15148000,,13103000,,14009000,,14135000,,15770000,,14669000,,15823000,,16067000,,18738000,,17870000,,19447000,,20669000,,23795000,,20959000,,24738000,,27945000,
Inventories,1161000,,1398000,,1501000,,1603000,,1552000,,1794000,,1684000,,1776000,,1649000,,1891000,,1807000,,1828000,,1839000,,1949000,,1869000,,1786000,,1619000,,1712000,,1745000,,1771000,
Prepayments (ST),-,,-,,2283000,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Assets Held for Sale (ST),-,,593000,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,
Other Current Assets,3637000,,3532000,,1436000,,3754000,,3577000,,4533000,,4645000,,4935000,,4563000,,5352000,,5194000,,5012000,,4313000,,4433000,,4533000,,4611000,,3997000,,4630000,,4761000,,4983000,
Total Current Assets,32908000,,27705000,,34458000,,35982000,,29118000,,28999000,,27896000,,31330000,,29539000,,29967000,,30774000,,34038000,,39165000,,39845000,,39953000,,38931000,,38420000,,38121000,,77517000,,52705000,
Gross Property Plant & Equip,18123000,,18217000,,18588000,,18761000,,18695000,,18675000,,19079000,,20006000,,20085000,,32349000,,32575000,,32269000,,33176000,,32432000,,31666000,,31089000,,32028000,,31670000,,31843000,,32692000,
Accumulated Depreciation,12621000,,12848000,,13145000,,13417000,,13361000,,13525000,,13804000,,14448000,,14390000,,23211000,,23152000,,22817000,,23136000,,22474000,,21957000,,21464000,,22018000,,21608000,,21641000,,22017000,
Net Property Plant & Equip,5502000,,5369000,,5443000,,5344000,,5334000,,5150000,,5275000,,5559000,,5694000,,9138000,,9423000,,9452000,,10040000,,9958000,,9709000,,9626000,,10010000,,10063000,,10202000,,10675000,
Receivables (LT),5766000,,4789000,,5221000,,5065000,,5806000,,4781000,,5316000,,4610000,,5606000,,5046000,,5674000,,5922000,,7509000,,6423000,,7351000,,7708000,,8988000,,7739000,,8441000,,8361000,
Long Term Investments,1626000,,-,,-,,-,,-,,-,,-,,-,,206000,,-,,-,,-,,226000,,-,,-,,-,,222000,,-,,-,,-,
