Powered by Clearbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business Machines Corp (NYS: IBM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange rate used is that of the Year End reported date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standardized Quarterly Income Statement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Date,12/31/2023,,09/30/2023,,06/30/2023,,03/31/2023,,12/31/2022,,09/30/2022,,06/30/2022,,03/31/2022,,12/31/2021,,09/30/2021,,06/30/2021,,03/31/2021,,12/31/2020,,09/30/2020,,06/30/2020,,03/31/2020,,12/31/2019,,09/30/2019,,06/30/2019,,03/31/2019,
,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,,4th Quarter,,3rd Quarter,,2nd Quarter,,1st Quarter,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
Audit Status,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,,Not Qualified,
Consolidated,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
Scale,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,,Thousands,
Sales Revenue,17209000,,14566000,,15292000,,14056000,,16519000,,13930000,,15388000,,14042000,,3185000,,17396000,,18503000,,17487000,,20080000,,17286000,,17855000,,17268000,,21474000,,17684000,,18810000,,17777000,
Financing Revenue,171000,,186000,,183000,,196000,,172000,,176000,,147000,,155000,,74000,,222000,,242000,,242000,,288000,,275000,,268000,,302000,,303000,,343000,,351000,,404000,
Total Revenue,17381000,,14752000,,15475000,,14252000,,16690000,,14107000,,15535000,,14197000,,3257000,,17618000,,18745000,,17730000,,20367000,,17560000,,18123000,,17571000,,21777000,,18028000,,19161000,,18182000,
Direct Costs,7114000,,6729000,,6974000,,6743000,,7058000,,6677000,,7246000,,6862000,,-2849000,,9447000,,9741000,,9525000,,9844000,,9130000,,9423000,,9649000,,10677000,,9692000,,10151000,,10139000,
Gross Profit,10267000,,8023000,,8501000,,7509000,,9632000,,7430000,,8290000,,7335000,,6107000,,8171000,,9004000,,8204000,,10523000,,8430000,,8700000,,7922000,,11100000,,8336000,,9010000,,8043000,
Selling General & Admin,5942000,,4181000,,4531000,,4349000,,4477000,,4116000,,4544000,,4296000,,3144000,,4592000,,5002000,,4781000,,4931000,,4354000,,4757000,,4886000,,4028000,,4711000,,4849000,,4554000,
Depreciation & Amortization,-,,252000,,239000,,243000,,254000,,252000,,277000,,279000,,269000,,289000,,281000,,277000,,277000,,278000,,284000,,284000,,-,,276000,,95000,,97000,
Research & Development,1748000,,1685000,,1687000,,1655000,,1604000,,1611000,,1673000,,1679000,,1581000,,1621000,,1657000,,1630000,,1611000,,1515000,,1582000,,1625000,,1596000,,1553000,,1407000,,1433000,
Restruct Remediation & Impair,-,,34000,,117000,,259000,,4000,,13000,,28000,,5000,,-60000,,0,,95000,,146000,,2039000,,18000,,137000,,728000,,17000,,24000,,495000,,19000,
Other Operating Expense,-533000,,-199000,,-234000,,-178000,,449000,,-110000,,-170000,,-105000,,458000,,-174000,,-178000,,-176000,,440000,,-138000,,-133000,,-60000,,1878000,,-152000,,-205000,,-81000,
Total Indirect Operating Costs,7157000,,5953000,,6340000,,6328000,,6788000,,5882000,,6352000,,6154000,,5392000,,6328000,,6857000,,6658000,,9298000,,6027000,,6627000,,7463000,,7519000,,6412000,,6641000,,6022000,
Operating Income,3110000,,2070000,,2161000,,1181000,,2844000,,1548000,,1937000,,1181000,,714000,,1843000,,2147000,,1547000,,1225000,,2403000,,2073000,,459000,,3581000,,1924000,,2369000,,2021000,
Interest Income,-405000,,-412000,,-222000,,-197000,,-249000,,-242000,,-269000,,-294000,,-290000,,-277000,,-270000,,-266000,,-302000,,-308000,,-300000,,-275000,,-306000,,-369000,,-181000,,-140000,
Gains on Sale of Assets,-,,-,,-144000,,137000,,489000,,-178000,,-493000,,-320000,,171000,,-10000,,-79000,,-154000,,20000,,107000,,92000,,-96000,,214000,,-558000,,290000,,-65000,
